HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","6,044",100.0,"221,479",100.0
Family households (families),"4,040",66.8,"145,992",65.9
"With own children under 18
  years","1,738",28.8,"63,449",28.6
Married-couple family,"3,243",53.7,"117,493",53.0
"With own children under 18
  years","1,181",19.5,"45,297",20.5
"Male householder, no wife present,
  family",253,4.2,"9,246",4.2
"With own children under 18
  years",182,3.0,"5,912",2.7
"Female householder, no husband
  present, family",544,9.0,"19,253",8.7
"With own children under 18
  years",375,6.2,"12,240",5.5
Nonfamily households,"2,004",33.2,"75,487",34.1
Householder living alone,"1,670",27.6,"61,207",27.6
65 years and over,539,8.9,"20,074",9.1

"Households with one or more people under 18
  years","1,933",32.0,"69,185",31.2
"Households with one or more people 65 years
  and over","1,339",22.2,"49,189",22.2

"Average
  household size",2.43,(X),2.48,(X)
"Average
  family size",2.94,(X),3.02,(X)

