"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","15,538",100.0,"221,479",100.0
"Less than $10,000",880,5.7,"11,279",5.1
"$10,000 to $14,999",904,5.8,"10,717",4.8
"$15,000 to $24,999","2,294",14.8,"21,127",9.5
"$25,000 to $34,999","1,542",9.9,"22,992",10.4
"$35,000 to $49,999","2,327",15.0,"31,395",14.2
"$50,000 to $74,999","3,222",20.7,"44,135",19.9
"$75,000 to $99,999","1,914",12.3,"31,949",14.4
"$100,000 to $149,999","1,674",10.8,"32,413",14.6
"$150,000 to $199,999",509,3.3,"9,172",4.1
"$200,000 or more",272,1.8,"6,300",2.8
Median household income (dollars),"$48,565",(X),"$56,573",(X)
Mean household income (dollars),"$59,797",(X),"$70,836",(X)

With earnings,"12,505",80.5,"184,013",83.1
Mean earnings (dollars),"$58,907",(X),"$69,147",(X)
With Social Security,"4,861",31.3,"58,632",26.5
Mean Social Security income (dollars),"$15,965",(X),"$16,806",(X)
With retirement income,"2,726",17.5,"35,970",16.2
Mean retirement income (dollars),"$18,583",(X),"$21,386",(X)

With Supplemental Security Income,649,4.2,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$7,021",(X),"$8,539",(X)
With cash public assistance income,374,2.4,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,867",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,"1,647",10.6,"12,666",5.7

