AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$55,629",100.0,"$44,580",100.0
Private,"$57,167",102.8,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$26,407",47.5,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$77,113",138.6,"$82,787",185.7
Utilities,"$84,530",152.0,"$81,625",183.1
Construction,"$52,238",93.9,"$49,321",110.6
Manufacturing,"$67,414",121.2,"$55,879",125.3
Wholesale Trade,"$72,805",130.9,"$57,547",129.1
Retail Trade,"$29,714",53.4,"$27,069",60.7
Transportation & Warehousing,"$44,445",79.9,"$47,370",106.3
Information,"$38,534",69.3,"$41,599",93.3
Financial Activities,"$45,989",82.7,"$49,113",110.2
Professional & Business Services,"$57,128",102.7,"$48,614",109.0
Educational & Health Services,"$44,099",79.3,"$40,194",90.2
Leisure & Hospitality,"$15,554",28.0,"$17,365",39.0
Other Services,"$51,825",93.2,"$34,795",78.1
Government,"$47,824",86.0,"$45,442",101.9
Federal Government,"$58,686",105.5,"$59,122",132.6
State Government,"$51,080",91.8,"$51,973",116.6
Local Government,"$47,467",85.3,"$41,270",92.6

