"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$72,301,088",100.0,"$12,419,640,108",100.0
Private,"$51,290,011",70.9,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$557,047",0.8,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$16,394,710",22.7,"$2,292,161,480",18.5
Utilities,"$587,062",0.8,"$201,510,613",1.6
Construction,"$3,164,022",4.4,"$1,060,383,641",8.5
Manufacturing,"$2,686,699",3.7,"$522,831,750",4.2
Wholesale Trade,"$1,090,745",1.5,"$527,492,048",4.2
Retail Trade,"$3,390,691",4.7,"$796,995,012",6.4
Transportation & Warehousing,"$4,000,502",5.5,"$452,562,477",3.6
Information,"$493,651",0.7,"$162,296,930",1.3
Financial Activities,"$1,872,535",2.6,"$528,141,060",4.3
Professional & Business Services,"$2,581,890",3.6,"$875,522,196",7.0
Educational & Health Services,"$9,158,980",12.7,"$1,017,875,287",8.2
Leisure & Hospitality,"$4,182,545",5.8,"$589,074,501",4.7
Other Services,"$1,128,932",1.6,"$297,966,586",2.4
Government,"$21,011,077",29.1,"$3,017,505,559",24.3
Federal Government,"$624,531",0.9,"$444,713,124",3.6
State Government,"$2,947,649",4.1,"$693,482,477",5.6
Local Government,"$17,438,897",24.1,"$1,879,309,958",15.1

