AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$36,737",100.0,"$44,580",100.0
Private,"$29,653",80.7,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$31,481",85.7,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$78,715",214.3,"$82,787",185.7
Utilities,"$72,407",197.1,"$81,625",183.1
Construction,"$34,394",93.6,"$49,321",110.6
Manufacturing,"$44,980",122.4,"$55,879",125.3
Wholesale Trade,"$34,622",94.2,"$57,547",129.1
Retail Trade,"$22,045",60.0,"$27,069",60.7
Transportation & Warehousing,"$43,091",117.3,"$47,370",106.3
Information,"$32,787",89.2,"$41,599",93.3
Financial Activities,"$41,524",113.0,"$49,113",110.2
Professional & Business Services,"$45,346",123.4,"$48,614",109.0
Educational & Health Services,"$35,560",96.8,"$40,194",90.2
Leisure & Hospitality,"$12,640",34.4,"$17,365",39.0
Other Services,"$22,794",62.0,"$34,795",78.1
Government,"$48,022",130.7,"$45,442",101.9
Federal Government,"$57,296",156.0,"$59,122",132.6
State Government,"$50,887",138.5,"$51,973",116.6
Local Government,"$41,429",112.8,"$41,270",92.6

