"HEALTH CARE AND RISK
  FACTORS13",Number,Percent,Number,Percent
"Licensed
  Hospitals",1,(X),27,(X)
Bed Capacity,25,(X),"1,386",(X)
"Licensed
  Nursing Care Facilities",1,(X),38,(X)
Bed Capacity,103,(X),"2,950",(X)
Occupancy Rate,95.0%,(X),80.9%,(X)
"Medicaid
  Beneficiaries","2,487",18.2,"87,069",15.1
"Enrollment
  in State Children Health Insurance Program",146,5.0,"8,846",6.2
"Percent of Adults with BMI (weight in kg/height in meters
  squared) Larger Than 30",25.8%,(X),25.2%,(X)
"Percent of Adults who reported having 5 or more drinks on an
  occasion at least once in the past 30 days",13.1%,(X),15.6%,(X)
"Percent of Adults who reported having smoked at least 100
  cigarettes in their life time and are currently smoking",19.6%,(X),22.2%,(X)

