HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","2,958",100.0,"221,479",100.0
Family households (families),"1,921",64.9,"145,992",65.9
"With own children under 18
  years",751,25.4,"63,449",28.6
Married-couple family,"1,615",54.6,"117,493",53.0
"With own children under 18
  years",523,17.7,"45,297",20.5
"Male householder, no wife present,
  family",117,4.0,"9,246",4.2
"With own children under 18
  years",95,3.2,"5,912",2.7
"Female householder, no husband
  present, family",189,6.4,"19,253",8.7
"With own children under 18
  years",133,4.5,"12,240",5.5
Nonfamily households,"1,037",35.1,"75,487",34.1
Householder living alone,935,31.6,"61,207",27.6
65 years and over,341,11.5,"20,074",9.1

"Households with one or more people under 18
  years",800,27.0,"69,185",31.2
"Households with one or more people 65 years
  and over",843,28.5,"49,189",22.2

"Average
  household size",2.3,(X),2.48,(X)
"Average
  family size",2.86,(X),3.02,(X)

