HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","30,406",100.0,"221,479",100.0
Family households (families),"20,295",66.7,"145,992",65.9
"With own children under 18
  years","8,979",29.5,"63,449",28.6
Married-couple family,"15,281",50.3,"117,493",53.0
"With own children under 18
  years","6,026",19.8,"45,297",20.5
"Male householder, no wife present,
  family","1,651",5.4,"9,246",4.2
"With own children under 18
  years",929,3.1,"5,912",2.7
"Female householder, no husband
  present, family","3,363",11.1,"19,253",8.7
"With own children under 18
  years","2,024",6.7,"12,240",5.5
Nonfamily households,"10,111",33.3,"75,487",34.1
Householder living alone,"8,301",27.3,"61,207",27.6
65 years and over,"2,731",9.0,"20,074",9.1

"Households with one or more people under 18
  years","9,942",32.7,"69,185",31.2
"Households with one or more people 65 years
  and over","6,663",21.9,"49,189",22.2

"Average
  household size",2.44,(X),2.48,(X)
"Average
  family size",2.95,(X),3.02,(X)

