POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"28,702",100.0,"576,412",100.0
Male,"14,298",49.8,"294,281",51.1
Female,"14,404",50.2,"282,131",48.9

Under 5 years,"1,573",5.5,"38,592",6.7
5 to 9 years,"1,668",5.8,"38,895",6.7
10 to 14 years,"1,641",5.7,"36,286",6.3
15 to 19 years,"1,858",6.5,"37,270",6.5
20 to 24 years,"1,677",5.8,"42,591",7.4
25 to 29 years,"1,661",5.8,"41,306",7.2
30 to 34 years,"1,615",5.6,"39,793",6.9
35 to 39 years,"1,480",5.2,"34,061",5.9
40 to 44 years,"1,564",5.4,"34,207",5.9
45 to 49 years,"1,739",6.1,"35,794",6.2
50 to 54 years,"2,257",7.9,"43,170",7.5
55 to 59 years,"2,405",8.4,"43,260",7.5
60 to 64 years,"2,226",7.8,"35,679",6.2
65 to 69 years,"1,807",6.3,"25,651",4.5
70 to 74 years,"1,277",4.4,"17,863",3.1
75 to 79 years,895,3.1,"12,783",2.2
80 to 84 years,649,2.3,"9,990",1.7
85 years and over,710,2.5,"9,221",1.6

Under 18 years,"5,909",20.6,"135,490",23.5
18 to 24 years,"2,508",8.7,"58,144",10.1
25 to 44 years,"6,320",22.0,"149,367",25.9
45 to 64 years,"8,627",30.1,"157,903",27.4
65 years and over,"5,338",18.6,"75,508",13.1

Median age (years),43.9,NA,36.9,NA

