"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$84,267,795",100.0,"$12,419,640,108",100.0
Private,"$58,013,938",68.8,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$1,411,583",1.7,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$15,178,711",18.0,"$2,292,161,480",18.5
Utilities,"$4,567,339",5.4,"$201,510,613",1.6
Construction,"$6,479,728",7.7,"$1,060,383,641",8.5
Manufacturing,"$7,205,713",8.6,"$522,831,750",4.2
Wholesale Trade,"$2,923,462",3.5,"$527,492,048",4.2
Retail Trade,"$4,128,648",4.9,"$796,995,012",6.4
Transportation & Warehousing,"$2,403,468",2.9,"$452,562,477",3.6
Information,"$392,668",0.5,"$162,296,930",1.3
Financial Activities,"$2,634,712",3.1,"$528,141,060",4.3
Professional & Business Services,"$1,859,390",2.2,"$875,522,196",7.0
Educational & Health Services,"$4,789,010",5.7,"$1,017,875,287",8.2
Leisure & Hospitality,"$3,300,498",3.9,"$589,074,501",4.7
Other Services,"$739,008",0.9,"$297,966,586",2.4
Government,"$26,253,857",31.2,"$3,017,505,559",24.3
Federal Government,"$4,356,813",5.2,"$444,713,124",3.6
State Government,"$3,350,187",4.0,"$693,482,477",5.6
Local Government,"$18,546,857",22.0,"$1,879,309,958",15.1

