"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"27,739",100.0,"278,595",100.0
Private,"23,173",83.5,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",52,0.2,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction","8,275",29.8,"27,688",9.9
Utilities,368,1.3,"2,469",0.9
Construction,"2,330",8.4,"21,500",7.7
Manufacturing,518,1.9,"9,357",3.4
Wholesale Trade,"1,661",6.0,"9,166",3.3
Retail Trade,"2,404",8.7,"29,444",10.6
Transportation & Warehousing,869,3.1,"9,554",3.4
Information,207,0.7,"3,902",1.4
Financial Activities,702,2.5,"10,754",3.9
Professional & Business Services,"1,723",6.2,"18,010",6.5
Educational & Health Services,"1,048",3.8,"25,324",9.1
Leisure & Hospitality,"2,060",7.4,"33,923",12.2
Other Services,959,3.5,"8,564",3.1
Government,"4,565",16.5,"66,403",23.8
Federal Government,88,0.3,"7,522",2.7
State Government,179,0.6,"13,343",4.8
Local Government,"4,299",15.5,"45,538",16.3

