POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"8,464",100.0,"576,412",100.0
Male,"4,249",50.2,"294,281",51.1
Female,"4,215",49.8,"282,131",48.9

Under 5 years,497,5.9,"38,592",6.7
5 to 9 years,629,7.4,"38,895",6.7
10 to 14 years,598,7.1,"36,286",6.3
15 to 19 years,571,6.7,"37,270",6.5
20 to 24 years,355,4.2,"42,591",7.4
25 to 29 years,411,4.9,"41,306",7.2
30 to 34 years,556,6.6,"39,793",6.9
35 to 39 years,456,5.4,"34,061",5.9
40 to 44 years,418,4.9,"34,207",5.9
45 to 49 years,567,6.7,"35,794",6.2
50 to 54 years,632,7.5,"43,170",7.5
55 to 59 years,642,7.6,"43,260",7.5
60 to 64 years,551,6.5,"35,679",6.2
65 to 69 years,485,5.7,"25,651",4.5
70 to 74 years,377,4.5,"17,863",3.1
75 to 79 years,263,3.1,"12,783",2.2
80 to 84 years,245,2.9,"9,990",1.7
85 years and over,211,2.5,"9,221",1.6

Under 18 years,"2,113",25.0,"135,490",23.5
18 to 24 years,537,6.3,"58,144",10.1
25 to 44 years,"1,841",21.8,"149,367",25.9
45 to 64 years,"2,392",28.3,"157,903",27.4
65 years and over,"1,581",18.7,"75,508",13.1

Median age (years),42,NA,36.9,NA

