"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","36,736",100.0,"221,479",100.0
"Less than $10,000","1,654",4.5,"11,279",5.1
"$10,000 to $14,999","1,970",5.4,"10,717",4.8
"$15,000 to $24,999","3,481",9.5,"21,127",9.5
"$25,000 to $34,999","3,914",10.7,"22,992",10.4
"$35,000 to $49,999","5,679",15.5,"31,395",14.2
"$50,000 to $74,999","7,217",19.6,"44,135",19.9
"$75,000 to $99,999","5,192",14.1,"31,949",14.4
"$100,000 to $149,999","5,019",13.7,"32,413",14.6
"$150,000 to $199,999","1,715",4.7,"9,172",4.1
"$200,000 or more",895,2.4,"6,300",2.8
Median household income (dollars),"$54,596",(X),"$56,573",(X)
Mean household income (dollars),"$69,469",(X),"$70,836",(X)

With earnings,"29,872",81.3,"184,013",83.1
Mean earnings (dollars),"$65,886",(X),"$69,147",(X)
With Social Security,"9,962",27.1,"58,632",26.5
Mean Social Security income (dollars),"$17,698",(X),"$16,806",(X)
With retirement income,"8,049",21.9,"35,970",16.2
Mean retirement income (dollars),"$26,776",(X),"$21,386",(X)

With Supplemental Security Income,"1,283",3.5,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$9,809",(X),"$8,539",(X)
With cash public assistance income,504,1.4,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$4,579",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,"2,582",7.0,"12,666",5.7

