"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$1,543,062,478",100.0,"$12,419,640,108",100.0
Private,"$1,324,734,433",85.9,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$1,373,179",0.1,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$638,110,093",41.4,"$2,292,161,480",18.5
Utilities,"$31,107,183",2.0,"$201,510,613",1.6
Construction,"$121,701,898",7.9,"$1,060,383,641",8.5
Manufacturing,"$34,920,301",2.3,"$522,831,750",4.2
Wholesale Trade,"$120,893,392",7.8,"$527,492,048",4.2
Retail Trade,"$71,417,468",4.6,"$796,995,012",6.4
Transportation & Warehousing,"$38,611,161",2.5,"$452,562,477",3.6
Information,"$7,957,230",0.5,"$162,296,930",1.3
Financial Activities,"$32,261,355",2.1,"$528,141,060",4.3
Professional & Business Services,"$98,432,000",6.4,"$875,522,196",7.0
Educational & Health Services,"$46,194,079",3.0,"$1,017,875,287",8.2
Leisure & Hospitality,"$32,041,587",2.1,"$589,074,501",4.7
Other Services,"$49,713,507",3.2,"$297,966,586",2.4
Government,"$218,328,045",14.1,"$3,017,505,559",24.3
Federal Government,"$5,149,678",0.3,"$444,713,124",3.6
State Government,"$9,143,344",0.6,"$693,482,477",5.6
Local Government,"$204,035,023",13.2,"$1,879,309,958",15.1

