PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",2,(X),48,(X)
"Number
  of Schools",8,(X),351,(X)
"Fall
  Enrollment","1,645",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",20.8,(X),19.7,(X)
"High
  School Graduates (4 year on time)",116,(X),"5,300",(X)
Graduation Rate,88.5%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,613",(X),"89,832",(X)
"Certified
  Teachers",140,(X),"7,350",(X)
"Certified
  Staff",25,(X),"1,538",(X)
Administration,24,(X),746,(X)
"Classified
  Staff",121,(X),"6,940",(X)
"Students
  Transported Daily",654,(X),"31,351",(X)
"Total
  General Fund Revenues","$29,200,851",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$28,537,604",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$22,571",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",22.0%,(X),37.6%,(X)

