PUBLIC SCHOOL STATISTICS10,Number,Percent,Number,Percent
"Number
  of School Districts",1,(X),48,(X)
"Number
  of Schools",16,(X),351,(X)
"Fall
  Enrollment","3,657",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",20.9,(X),455.5,(X)
"High
  School Graduates (4 year on time)",236,(X),"5,300",(X)
Graduation Rate,86.1%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","3,604",(X),"89,780",(X)
"Certified
  Teachers",333,(X),"7,350",(X)
"Certified
  Staff",75,(X),"1,538",(X)
Administration,25,(X),746,(X)
"Classified
  Staff",282,(X),"6,940",(X)
"Students
  Transported Daily","1,077",(X),"31,351",(X)
"Total
  General Fund Revenues","$53,699,009",(X),"$1,370,361,334",(X)
"Total
  General Fund Expenditures","$53,906,875",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$17,140",(X),"$17,166",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",27.2%,(X),37.6%,(X)

