AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$39,087",100.0,"$44,580",100.0
Private,"$38,107",97.5,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$23,628",60.4,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$81,997",209.8,"$82,787",185.7
Utilities,"$70,238",179.7,"$81,625",183.1
Construction,"$41,956",107.3,"$49,321",110.6
Manufacturing,"$37,880",96.9,"$55,879",125.3
Wholesale Trade,"$40,444",103.5,"$57,547",129.1
Retail Trade,"$27,317",69.9,"$27,069",60.7
Transportation & Warehousing,"$45,233",115.7,"$47,370",106.3
Information,"$35,107",89.8,"$41,599",93.3
Financial Activities,"$46,212",118.2,"$49,113",110.2
Professional & Business Services,"$51,808",132.5,"$48,614",109.0
Educational & Health Services,"$37,020",94.7,"$40,194",90.2
Leisure & Hospitality,"$14,621",37.4,"$17,365",39.0
Other Services,"$30,003",76.8,"$34,795",78.1
Government,"$40,898",104.6,"$45,442",101.9
Federal Government,"$60,940",155.9,"$59,122",132.6
State Government,"$46,577",119.2,"$51,973",116.6
Local Government,"$37,730",96.5,"$41,270",92.6

