AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$37,065",100.0,"$44,580",100.0
Private,"$35,423",95.6,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$30,164",81.4,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$92,726",250.2,"$82,787",185.7
Utilities,"$61,307",165.4,"$81,625",183.1
Construction,"$39,557",106.7,"$49,321",110.6
Manufacturing,"$39,502",106.6,"$55,879",125.3
Wholesale Trade,"$51,186",138.1,"$57,547",129.1
Retail Trade,"$24,473",66.0,"$27,069",60.7
Transportation & Warehousing,"$41,634",112.3,"$47,370",106.3
Information,"$35,152",94.8,"$41,599",93.3
Financial Activities,"$37,380",100.8,"$49,113",110.2
Professional & Business Services,"$46,458",125.3,"$48,614",109.0
Educational & Health Services,"$40,737",109.9,"$40,194",90.2
Leisure & Hospitality,"$17,015",45.9,"$17,365",39.0
Other Services,"$27,793",75.0,"$34,795",78.1
Government,"$41,895",113.0,"$45,442",101.9
Federal Government,"$51,385",138.6,"$59,122",132.6
State Government,"$48,761",131.6,"$51,973",116.6
Local Government,"$38,319",103.4,"$41,270",92.6

