PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",1,(X),48,(X)
"Number
  of Schools",5,(X),351,(X)
"Fall
  Enrollment","1,287",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.3,(X),19.7,(X)
"High
  School Graduates (4 year on time)",94,(X),"5,300",(X)
Graduation Rate,80.3%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,279",(X),"89,832",(X)
"Certified
  Teachers",119,(X),"7,350",(X)
"Certified
  Staff",21,(X),"1,538",(X)
Administration,13,(X),746,(X)
"Classified
  Staff",101,(X),"6,940",(X)
"Students
  Transported Daily",689,(X),"31,351",(X)
"Total
  General Fund Revenues","$19,658,703",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$20,229,253",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$18,171",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",34.7%,(X),37.6%,(X)

