"",,,,,,,,,2nd QT,,2nd QT,,
"",MURDER,RAPE,ROBBERY,AGG ASSAULT,,BURGLARY,LARCENY,MVT,2016 TOTAL,M,2015 TOTAL,M,% Change *
ALBANY COUNTY,0,4,1,6,,16,125,1,153,,202,,-24.3%
Sheriff,,,,2,,3,3,,8,3,14,3,-42.9%
Laramie,,4,1,4,,13,95,1,118,3,144,3,-18.1%
University of Wyoming,,,,,,,27,,27,3,44,3,-38.6%
BIG HORN COUNTY,0,0,0,1,,3,9,1,14,,14,,0.0%
Sheriff,,,,,,1,6,,7,3,3,3,133.3%
Lovell,,,,,,,,,0,0,0,3,0.0%
Greybull,,,,1,,2,3,1,7,3,11,3,-36.4%
CAMPBELL COUNTY,0,1,1,44,,27,155,10,238,,227,,4.8%
Sheriff,,,,30,,7,18,2,57,3,42,3,35.7%
Gillette,,1,1,14,,20,137,8,181,3,185,3,-2.2%
CARBON COUNTY,0,3,0,4,,15,81,7,110,,89,,23.6%
Sheriff,,1,,,,4,6,2,13,3,12,3,8.3%
Rawlins,,2,,4,,11,72,5,94,3,70,3,34.3%
Saratoga,,,,,,,3,0,3,3,7,3,-57.1%
Hanna,,,,,,,,,0,3,0,3,0.0%
CONVERSE COUNTY,0,0,1,21,,4,14,3,43,,65,,-33.8%
Sheriff,,,,,,,,,0,0,7,3,-100.0%
Douglas,,,1,21,,4,11,3,40,3,44,3,-9.1%
Glenrock,,,,,,,3,,3,3,14,3,-78.6%
CROOK COUNTY,0,2,0,1,,7,12,1,23,,22,,4.5%
Sheriff,,,,,,5,4,1,10,3,13,2,-23.1%
Sundance,,1,,,,,2,,3,3,3,3,0.0%
Hulett,,,,,,,,,0,0,0,2,0.0%
Moorcroft,,1,,1,,2,6,,10,3,6,3,66.7%
FREMONT COUNTY,0,1,1,11,,12,231,11,267,,234,,14.1%
Sheriff,,,,,,,,,0,1,40,3,-100.0%
Lander,,,,,,3,64,,67,3,67,3,0.0%
Riverton,,1,1,11,,9,167,11,200,3,127,3,57.5%
GOSHEN COUNTY,0,1,0,13,,17,29,3,63,,34,,85.3%
Sheriff,,1,,7,,5,5,3,21,3,12,3,75.0%
Torrington,,,,6,,12,24,,42,3,34,3,23.5%
HOT SPRINGS COUNTY,0,0,0,0,,1,13,1,15,,6,,150.0%
Sheriff,,,,,,,4,1,5,3,6,3,-16.7%
Thermopolis,,,,,,1,9,,10,3,0,3,0.0%
JOHNSON COUNTY,0,1,0,1,,7,30,1,40,,28,,42.9%
Sheriff,,,,1,,4,10,,15,2,8,3,87.5.0%
Buffalo,,1,,,,3,20,1,25,3,20,3,25.0%
LARAMIE COUNTY,0,13,8,40,,116,517,66,760,,488,,55.7%
Sheriff,,1,,14,,37,86,13,151,3,157,3,-3.8%
Cheyenne,,12,8,25,,79,430,53,607,3,328,3,85.1%
Pine Bluffs,,,,1,,,1,,2,3,3,3,-33.3%
LINCOLN,,,,,,,,,,,,
COUNTY,0,4,0,0,7,31,0,42,,26,,61.5%
Sheriff,,2,,,6,14,,22,3,15,3,46.7%
Afton,,1,,,1,13,,15,3,5,3,200.0%
Kemmerer,,1,,,,4,,5,3,6,3,-16.7%
Diamondville,,,,,,,,0,3,0,3,0.0%
NATRONA,,,,,,,,,,,,
COUNTY,0,5,4,42,86,397,47,581,,578,,0.5%
Sheriff,,5,1,9,25,44,9,93,3,75,3,24.0%
Casper,,,2,21,51,337,36,447,3,456,3,-2.0%
Mills,,,,,8,10,2,20,3,34,3,-41.2%
Evansville,,,1,12,2,6,,21,3,13,3,61.5%
NIOBRARA,,,,,,,,,,,,
COUNTY,0,0,0,0,0,0,0,0,,0,,0.0%
Lusk,,,,,,,,0,0,0,3,0.0%
PARK COUNTY,0,-1,0,11,18,90,1,119,,94,,26.6%
Sheriff,,,,8,2,16,,26,3,21,3,23.8%
Cody,,,,1,8,37,,46,3,39,3,17.9%
Powell,,-1,,2,8,37,1,47,3,34,3,38.2%
PLATTE,,,,,,,,,,,,
COUNTY,0,0,0,2,8,15,0,25,,28,,-10.7%
Sheriff,,,,,6,2,,8,3,7,3,14.3%
Wheatland,,,,2,2,13,,17,3,21,3,-19.0%
Guernsey,,,,,,,,0,0,0,0,0.0%
SHERIDAN,,,,,,,,,,,,
COUNTY,0,0,0,10,13,67,9,99,,124,,-20.2%
Sheriff,,,,4,2,3,3,12,3,15,3,-20.0%
Sheridan,,,,6,11,64,6,87,3,108,3,-19.4%
NWCCD,,,,,,,,0,0,1,3,200.0%
SUBLETTE,,,,,,,,,,,,
COUNTY,0,0,0,1,1,14,0,16,,33,,-51.5%
Sheriff,,,,1,1,14,,16,3,33,3,-51.5%
SWEETWATER,,,,,,,,,,,,
COUNTY,2,5,0,22,32,131,13,205,,203,,1.0%
Sheriff,,2,,3,11,22,7,45,3,32,3,40.6%
Green River,,,,11,4,21,2,38,3,32,3,18.8%
Rock Springs,2,3,,8,17,88,4,122,3,139,3,-12.2%
TETON COUNTY,0,4,0,3,8,32,4,51,,48,,6.3%
Jackson,,4,,3,8,32,4,51,3,48,3,6.3%
UINTA COUNTY,0,0,0,6,6,97,1,110,,132,,-16.7%
Sheriff,,,,1,1,12,1,15,3,23,3,-34.8%
Evanston,,,,5,5,85,,95,3,109,3,-12.8%
WASHAKIE,,,,,,,,,,,,
COUNTY,0,0,0,0,2,6,0,8,,12,,-33.3%
Sheriff,,,,,,1,,1,3,1,3,0.0%
Worland,,,,,2,5,,7,3,11,3,-36.4%
WESTON,,,,,,,,,,,,
COUNTY,0,0,0,1,1,7,0,9,,24,,-62.5%
Sheriff,,,,,,,,0,3,2,2,-100.0%
Newcastle,,,,1,1,7,,9,3,22,3,-59.1%
TOTAL,2,43,16,240,407,"2,103",180,"2,991",,"2,711",,10.3%
