"",,,,Estimated
"",,,,
"",Number,Total,Uninhabited,Value of
"",,,,
"",of,Offenses,or Abandoned,Property
"",,,,
Property Classification,Offenses,Cleared,Structures,Damaged
"",,,,
Single Occupancy Residence,1,,1,$300
"",,,,
Other Residence,,,,
"",,,,
Storage,,,,
"",,,,
Industrial/Manufacturing,,,,
"",,,,
Other Commercial,,,,
"",,,,
Community/Public,1,,,$150
"",,,,
All other Structures,,,,
"",,,,
TOTAL STRUCTURES,2,0,1,$450
"",,,,
Motor Vehicles,,,,
"",,,,
Other Mobile Property,1,,,$100
"",,,,
TOTAL MOBILE,1,0,0,$100
"",,,,
TOTAL OTHER,0,0,0,$0
"",,,,
GRAND TOTAL,3,0,1,$550
