Age,Victims,Percent,Offenders,Percent
0-5,-,-,-,-
6-12,2,11.1%,-,-
13-19,-,-,5,27.8%
20-29,5,27.8%,2,11.1%
30-39,3,16.7%,7,38.9
40-49,5,27.8%,2,11.1%
50-59,-,-,1,5.6%
60-69,2,11.1%,1,5.6%
70-99,1,5.6%,-,-
Unknown,-,-,-,-
TOTAL,18,100.0%,18,100.0%
"",,,,
Sex,,,,
Male,13,72.2%,18,100.0%
Female,5,27.8%,-,-
Unknown,-,-,3,20.0%
TOTAL,18,100.0%,18,100.0%
"",,,,
Race,,,,
White,16,88.9%,18,100.0%
Black,-,-,-,-
Indian,2,11.1%,-,-
Asian,-,-,-,-
Unknown,-,-,3,20.0%
TOTAL,18,100.0%,18,100.0%

