Nature of Larceny,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
"",,,,,,,,,,,,,,
"",Offenses,3,0,2,1,3,2,5,1,3,3,1,1,25
Picket-Picking,,,,,,,,,,,,,,
"",$$ Loss,$374,$0,$400,$0,$534,$910,$580,$45,$231,$655,$47,$787,"$4,563"
"",Offenses,2,0,1,4,5,1,5,5,6,5,1,1,36
Purse-Snatching,,,,,,,,,,,,,,
"",$$ Loss,$330,$0,$300,$209,"$3,512",$20,"$1,940",$160,$579,$285,$495,"%1,672","$9,502"
"",Offenses,199,141,165,192,195,175,248,216,185,232,226,197,"2,370"
Shoplifting,,,,,,,,,,,,,,
"",$$ Loss,"$34,811","$20,586","$22,729","$25,255","$18,251","$22,777","$34,425","$33,255","$17,322","$26,284","$36,142","$23,044","$312,881"
From Motor,Offenses,138,96,129,103,135,183,216,215,140,177,168,144,"1,814"
Vehicles,$$ Loss,"$73,792","$49,757","$56,120","$32,331","$45,994","$119,565","$125,851","$49,508","$66,027","$130,958","$79,521","$60,199","$889,714"
Motor Vehicle Parts,Offenses,26,28,35,27,41,37,31,28,26,27,24,12,342
and Accessories,$$ Loss,"$9,842","$4,775","$9,187","$2,559","$11,322","$6,708","$6,708","$6,230","$13,089","$5,333","$12,759","$24,197","$121,392"
"",Offenses,11,8,14,26,47,68,87,66,50,27,13,10,427
Bicycles,,,,,,,,,,,,,,
"",$$ Loss,"$2,589",$810,"$10,289","$4,367","$15,683","$19,560","$29,487","$17,208","$11,875","$8,530","$3,868","$2,775","$127,041"
"",Offenses,138,144,149,121,146,116,129,107,101,126,114,125,"1,516"
From Buildings,,,,,,,,,,,,,,
"",$$ Loss,"$80,178","$109,409","$62,550","$60,050","$95,307","$70,896","$190,705","$86,911","$60,387","$78,745","$78,071","$111,262","$1,084,471"
From Any Coin,Offenses,1,2,0,3,2,2,1,4,3,0,2,4,24
Operated Machine,$$ Loss,$70,"$5,250",$0,$805,$100,$146,$0,$215,$255,$0,"$2,800",$939,"$10,580"
"",Offenses,230,239,237,280,306,313,351,418,295,281,264,227,"3,441"
All Other,,,,,,,,,,,,,,
"",$$ Loss,"$313,411","$156,531","$111,128","$369,675","$378,129","$191,402","$467,580","$252,951","$378,186","#216,409","$149,140","$592,477","$3,579,019"
"",,,,,,,,,,,,,,
"",Offenses,748,658,732,757,880,896,"1,073","1,060",809,878,813,691,"9,995"
TOTALS,,,,,,,,,,,,,,
"",$$ Loss,"$515,397","$347,118","$272,703","$495,251","$569,832","$432,075","$857,798","$453,342","$541,195","$473,951","$366,149","$817,352","6,139,163"

