"",2012-2013 Wyoming Sex Offender Registry Annual Report,
"",Duty to Register,
"",Total Number Total Number,
County of,"Registered Registered “g” ""h"" Lifetime ""j"" Lifetime",Under
Registration,,Review
"",End Calendar End Calendar,
"",2012 2013 2012 2013 2012 2013,2012 2013
"",year 2010 year 2011,
"",,
ALBANY,46 39 8 6 16 17 17 14,1 2
BIG HORN,24 26 8 8 5 5 10 13,1 0
CAMPBELL,156 170 40 44 54 55 55 68,4 3
CARBON,84 75 10 14 18 15 54 45,1 1
CONVERSE,37 37 3 2 14 15 18 19,1 1
CROOK,15 13 6 6 4 1 4 6,0 0
FREMONT,134 134 32 36 37 32 63 66,1 0
GOSHEN,127 152 29 30 34 44 62 77,0 1
HOT SPRINGS,16 20 7 7 4 6 5 6,0 1
JOHNSON,19 23 6 5 7 8 5 8,1 2
LARAMIE,316 329 77 82 88 94 136 151,6 2
LINCOLN,16 15 6 5 4 7 4 2,1 1
NATRONA,327 321 93 93 92 85 131 143,8 0
NIOBRARA,9 13 3 4 2 4 4 5,0 0
PARK,35 35 13 10 10 10 11 14,1 1
PLATTE,18 19 7 9 5 5 5 5,0 0
SHERIDAN,62 73 17 23 11 18 33 32,1 0
SUBLETTE,11 16 2 4 4 5 4 7,0 0
SWEETWATER,89 91 28 29 23 27 34 35,2 0
TETON,14 13 5 5 4 6 3 2,1 0
UINTA,35 37 8 10 7 11 18 16,2 0
WASHAKIE,15 16 3 3 7 7 4 6,0 0
WESTON,17 15 5 7 1 3 8 5,2 0
STATE TOTALS,1589 1682 416 442 451 480 688 745,34 15

