"",,,,Type of Weapon,,Type of Assignment,,,
"",,Total,,,,,,,
"",,Assaults,,"Knife Other Hand,",,One-Man Special Assign.,Other,,
"",Type of Activity,by,Firearm,"or Other Dangerous Fists,",,,,,Cleared
"",,Weapon,,"Cutting Assisted Weapon Feet,",Two-Man,Alone Assisted Alone Assisted,Alone,,
"",,,,Instrument Etc.,Vehicle,,,,
"",,A,B,C D E,F,G H I J,K,L,M
"",,,,,,,,,
1,"Responding to ""Disturbance"" Call",23,0,0 3 20,2,7 7 0 0,0,7,11
2,Burglaries in progress or pursuing burglary suspect,2,0,0 0 2,0,0 2 0 0,0,0,0
3,Robberies in progress or pursuing robbery suspect,0,0,0 0 0,0,0 0 0 0,0,0,0
4,Attempting other arrest,9,0,0 2 7,0,2 6 0 0,0,1,6
5,"Civil disorder (riot, mass disobedience)",0,0,0 0 0,0,0 0 0 0,0,0,0
6,"Handling,  transporting, custody of prisoners",16,0,0 3 13,0,1 8 0 0,0,7,14
7,Investigation suspicious persons or circumstances,1,0,0 0 1,0,1 0 0 0,0,0,1
8,Ambush - no warning,0,0,0 0 0,0,0 0 0 0,0,0,0
9,Mentally deranged,1,0,0 0 1,0,1 0 0 0,0,0,1
10,Traffic pursuits and stops,2,0,0 0 2,0,0 2 0 0,0,0,0
11,All others,14,1,0 2 11,0,3 2 0 0,1,8,13
12,TOTALS,68,1,0 10 57,2,15 27 0 0,1,23,46
"",,,,,,,,,

