"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","5","5",
"1","4","4",
"2","3","3",
"3","4","4",
"4","1","1",
"5","2","2",
"6","3","3",
"7","3","3",
"8","1","1",
"9","3","3",
"10","2","2",
"11","0","0",
"12","0","0",
"13","1","1",
"14","0","0",
"15","3","3",
"16","4","4",
"17","2","2",
"18 to 20","3","3",
"21 to 24","13","13",
"25 & over","134","134",
"Total","191","191",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
