"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","2","2",
"1","1","1",
"2","3","3",
"3","2","2",
"4","1","1",
"5","0","0",
"6","2","2",
"7","0","0",
"8","1","1",
"9","2","2",
"10","0","0",
"11","0","0",
"12","2","2",
"13","0","0",
"14","1","1",
"15","1","1",
"16","0","0",
"17","1","1",
"18 to 20","2","2",
"21 to 24","5","5",
"25 & over","48","48",
"Total","74","74",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
