"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","2","2",
"1","0","0",
"2","1","1",
"3","1","1",
"4","1","1",
"5","2","2",
"6","1","1",
"7","1","1",
"8","1","1",
"9","2","2",
"10","1","1",
"11","1","1",
"12","3","3",
"13","1","1",
"14","1","1",
"15","2","2",
"16","2","2",
"17","4","4",
"18 to 20","8","8",
"21 to 24","8","8",
"25 & over","71","71",
"Total","114","114",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
